date,country,confirmed,cured
2020-04-30,中国,84373,78816
2020-03-30,中国,82545,76225
2020-02-05,中国,28018,1153
2020-01-20,中国,291,25
2020-04-09,中国,83305,77055
2020-02-14,中国,66575,8101
2020-01-26,中国,2744,51
2020-03-25,中国,81960,74196
2020-04-18,中国,84201,77825
2020-01-28,中国,5974,103
2020-02-10,中国,42708,3998
2020-02-20,中国,75993,18277
2020-01-23,中国,830,34
2020-02-06,中国,31161,1540
2019-12-30,中国,37,0
2020-02-27,中国,78959,36157
2020-04-27,中国,84347,78664
2020-01-07,中国,41,0
2020-02-07,中国,34594,2052
2020-04-21,中国,84287,78042
2020-01-27,中国,4515,60
2020-04-29,中国,84369,78766
2020-02-16,中国,70637,10860
2020-03-26,中国,82078,74737
2020-04-03,中国,82875,76984
2020-01-01,中国,43,0
2020-01-15,中国,41,12
2020-01-19,中国,275,25
2020-02-19,中国,75101,16168
2019-12-01,中国,1,0
2020-03-11,中国,80992,62887
2020-02-02,中国,17205,475
2020-04-25,中国,84338,78450
2020-04-15,中国,83797,77539
2019-12-19,中国,9,0
2020-03-02,中国,80302,47260
2020-01-14,中国,41,7
2020-03-09,中国,80924,59982
2020-01-05,中国,41,0
2019-12-27,中国,37,0
2020-02-04,中国,24324,892
2020-03-08,中国,80904,58684
2019-12-31,中国,40,0
2020-04-10,中国,83369,77055
2020-04-16,中国,84149,77635
2020-03-07,中国,80859,57143
2020-04-11,中国,83482,77055
2019-12-25,中国,33,0
2020-01-16,中国,45,15
2020-04-01,中国,82724,76610
2019-12-29,中国,37,0
2020-01-22,中国,571,25
2020-04-12,中国,83597,77180
2020-04-14,中国,83745,77424
2020-01-03,中国,41,0
2020-02-15,中国,68584,9425
2020-01-09,中国,41,0
2019-12-12,中国,4,0
2020-03-21,中国,81498,72382
2020-02-22,中国,76846,22907
2019-12-18,中国,8,0
2020-04-07,中国,83157,77055
2019-12-21,中国,18,0
2019-12-16,中国,6,0
2019-12-17,中国,7,0
2019-12-13,中国,4,0
2019-12-24,中国,30,0
2020-04-04,中国,82930,77055
2020-02-23,中国,77262,24757
2020-03-19,中国,81300,71284
2020-03-18,中国,81235,70547
2019-12-07,中国,1,0
2019-12-15,中国,6,0
2020-02-21,中国,76392,20672
2020-03-28,中国,82341,75600
2019-12-14,中国,4,0
2020-03-05,中国,80710,53793
2020-01-04,中国,41,0
2020-03-03,中国,80422,49914
2020-01-10,中国,41,2
2020-01-24,中国,1287,38
2020-02-01,中国,14380,328
2020-02-25,中国,78190,29775
2020-02-08,中国,37162,2651
2019-12-09,中国,1,0
2020-02-03,中国,20438,632
2020-02-17,中国,72528,12561
2020-02-29,中国,79968,41675
2020-03-15,中国,81077,67863
2019-12-20,中国,14,0
2020-02-12,中国,58839,5646
2020-04-13,中国,83696,77297
2020-04-23,中国,84311,78236
2020-03-14,中国,81048,67022
2019-12-11,中国,4,0
2019-12-06,中国,1,0
2020-03-10,中国,80955,61567
2020-01-08,中国,41,0
2020-04-08,中国,83249,77055
2020-03-31,中国,82631,76415
2020-01-02,中国,44,0
2020-01-12,中国,41,7
2020-01-25,中国,1975,49
2020-02-28,中国,79389,39049
2020-04-19,中国,84237,77895
2020-04-20,中国,84250,77978
2020-04-06,中国,83071,77055
2020-02-24,中国,77779,27353
2020-02-11,中国,44730,4742
2019-12-10,中国,1,0
2020-04-17,中国,84180,77744
2020-01-06,中国,41,0
2020-01-30,中国,9692,171
2020-01-31,中国,11791,243
2020-03-06,中国,80813,55477
2019-12-23,中国,29,0
2020-03-22,中国,81600,72841
2020-03-13,中国,81021,65649
2019-12-22,中国,21,0
2020-01-29,中国,7711,124
2020-03-24,中国,81846,73791
2019-12-28,中国,37,0
2020-03-16,中国,81116,68799
2020-01-11,中国,41,6
2020-04-28,中国,84367,78712
2020-01-17,中国,62,19
2019-12-02,中国,1,0
2019-12-26,中国,35,0
2020-04-02,中国,82802,76785
2020-03-01,中国,80174,44518
2020-03-20,中国,81416,71876
2020-03-17,中国,81151,69725
2020-04-24,中国,84324,78362
2019-12-05,中国,1,0
2020-02-13,中国,63932,6728
2020-03-29,中国,82447,75937
2020-01-18,中国,198,24
2019-12-03,中国,1,0
2020-04-22,中国,84302,78147
2019-12-04,中国,1,0
2020-03-27,中国,82213,75122
2020-01-21,中国,440,25
2020-01-13,中国,41,7
2020-03-12,中国,81003,64216
2020-02-09,中国,40224,3283
2019-12-08,中国,1,0
2020-03-23,中国,81747,73299
2020-04-05,中国,83005,77055
2020-03-04,中国,80565,52109
2020-02-18,中国,74276,14387
2020-04-26,中国,84341,78558
2020-02-26,中国,78630,32531
