,prediction
0,43.39407559002939
1,19.10450973291063
2,13.929370376586348
3,32.59727757174164
4,20.13270046032426
5,20.25825702595921
6,15.850214520786949
7,6.427768627366049
8,22.67213985440617
9,20.489969584458322
10,16.2154680249007
11,38.28395113288934
12,39.06666414658207
13,27.86688350358304
14,8.360947864739728
15,9.821181274818855
16,19.813639859735986
17,16.79419766938304
18,16.00066232586323
19,17.44411456468947
20,21.331977104565567
21,46.30871658152273
22,21.084856811589134
23,23.718979263716847
24,12.454697017090666
25,24.745512401094402
26,19.68426346999945
27,15.818157747680516
28,18.7671883155474
29,22.084935175615783
30,16.44649068312401
31,32.68732946961154
32,23.805141361065807
33,22.718888550163456
34,21.38017937495715
35,10.204616031582418
36,22.095583944270857
37,34.74716939579639
38,13.874166639101077
39,21.911418014179844
40,15.985039863742031
41,10.704394962851666
42,18.40010561400709
43,16.658898255673876
44,17.84382813190291
45,27.73659703848284
46,21.457064733853485
47,20.419106832335046
48,27.559073542489614
49,20.000647176082566
50,26.485674290727957
51,20.982861453088617
52,48.292898666819156
53,20.64930332675749
54,22.17219355899556
55,20.808206321955595
56,48.105341727800806
57,15.59763699398809
58,28.30618254232786
59,20.640409598169526
60,18.5381208033416
61,28.065300408881058
62,36.71565893065781
63,31.843725335436375
64,24.813461685773063
65,23.024373519888513
66,35.6236322203315
67,22.152200124711726
68,27.44365068434945
69,25.76216179182734
70,24.009483594850508
71,25.99331353143475
72,15.046536767473981
73,32.50483913980952
74,9.942800141994894
75,20.679683381331415
76,16.70681717376442
77,14.947357936553317
78,19.97391019664451
79,17.77131743123141
80,24.97518370154262
81,14.858739586800084
82,11.759254857103542
83,18.96232884015103
84,22.69852065274563
85,10.77576663012519
86,24.810634143652578
87,13.097435854530204
88,18.26343825920253
89,23.12159326197707
90,17.031988881888765
91,20.051888966695515
92,19.591334867772503
93,47.013588317799304
94,27.45187677652757
95,15.492975415117371
96,53.53671630883946
97,18.41744875318659
98,22.348494237179466
99,35.37405703985746
100,26.996742299016432
101,20.3651820027319
