,prediction
0,24.357621791092633
1,16.558476842056997
2,22.275327585718642
3,19.104837965841412
4,20.522639067937
5,35.26740798536546
6,18.1389755246372
7,19.653608235039748
8,28.380917397764392
9,35.53751459971606
10,3.6681028824394843
11,14.69107493615105
12,21.882541930658405
13,15.890434013364636
14,17.20850562859947
15,33.44526826920121
16,21.00966898150925
17,16.498876346385543
18,25.14410858906046
19,26.38119114778373
20,11.924569645179545
21,15.000946491014382
22,13.855274127167093
23,8.331014826936581
24,12.479791517312737
25,14.948165517133386
26,29.259089677439068
27,33.660101274121466
28,17.897211256431603
29,33.04094880292437
30,20.068082127121457
31,20.839946071561148
32,17.28692447333251
33,43.49763418795596
34,13.576283130037208
35,14.239541830521521
36,31.71193259841026
37,27.65783714274966
38,17.88485168897073
39,23.114709667024574
40,34.1843595935401
41,30.16064896043378
42,18.198465134310254
43,33.16697871717685
44,23.356083837163496
45,27.487184678148825
46,13.560562542637182
47,13.298036127920646
48,32.88939466522642
49,4.301853607209317
50,24.030079926324206
51,17.603999408895596
52,38.231864002627724
53,18.778855462975887
54,20.451694710469884
55,35.50527591738777
56,8.087417646740406
57,-5.385174300918251
58,17.884912423839246
59,21.155587020995355
60,39.37194061822196
61,21.830587213943126
62,30.373094952383163
63,20.325730815500243
64,22.132026116089868
65,16.61515843057215
66,27.448814010408476
67,40.723224094428545
68,15.295834247774732
69,23.173764823964795
70,30.936569245272164
71,35.690250577046754
72,21.333607193454817
73,20.044161815012465
74,20.849887191881663
75,21.175963672024825
