,prediction
0,22.498811423822126
1,19.745304487367413
2,21.186690220271547
3,19.899214410007886
4,19.835965232809777
5,31.24607738095238
6,15.692631634941426
7,15.554419795482294
8,25.62835961282726
9,43.116678571428565
10,15.146739064856714
11,16.87196560547296
12,30.097583616383616
13,19.523233622696345
14,15.742315359477123
15,33.76848390960891
16,19.727381360207502
17,16.01673326510783
18,25.262793065355726
19,21.23174949433082
20,10.293971899391886
21,13.19600465068557
22,11.568491653814021
23,15.879310493428141
24,10.559995126036245
25,15.46258012820513
26,33.90747348484849
27,30.400550925925927
28,14.743300365591583
29,34.38532798220298
30,20.439979580544378
31,14.749687545841715
32,14.924421546998753
33,46.803522727272735
34,16.401928724053725
35,17.378565241082462
36,29.07254716117216
37,32.68342592592593
38,14.171750570099835
39,20.704805943815025
40,33.64684523809523
41,34.524192278309926
42,20.00125700638107
43,27.104868040293034
44,21.184842004409813
45,25.98016711191108
46,11.537085680788083
47,15.86658526137874
48,31.872308584933585
49,9.728676091269842
50,20.929486942420105
51,19.514228533648037
52,47.13395238095238
53,15.196310206369997
54,20.502970483817812
55,35.911964886964896
56,8.338168928422798
57,8.001090356098578
58,19.240625723926556
59,16.798289560972226
60,45.856
61,23.129873382442227
62,22.09561252465951
63,19.94623800057704
64,22.70150547663438
65,16.74043354194825
66,24.227746127248487
67,46.62441071428571
68,15.333517761650118
69,27.146323152337857
70,27.016886702505666
71,40.23399419099418
72,22.288864791868882
73,20.13516501622933
74,19.25353988051244
75,21.239643067576843
